# src, RA(deg), err_RA(deg), Dec(deg), err_Dec(deg), Flux(Jy), err_Flux(Jy)
   0,  14.8551043037599,   0.0032921350240, -10.2786600765301,   0.0043821502243,   0.6401165365490,   0.0467171671621
   1,  36.9184212260033,   0.0042710102047, -26.8602227089437,   0.0043886415849,   0.2180847091391,   0.0239932930049
   2,  19.8392097350459,   0.0062703220534, -17.8918818062109,   0.0096198658236,   0.1904113003998,   0.0235991529479
   3,   9.5998465635777,   0.0020314840674, -26.5150941629169,   0.0029171392767,   0.5581675018485,   0.0347507849117
   4,  30.9947576338102,   0.0037238706274, -23.5656317597823,   0.0049233168391,   0.1767038390377,   0.0203823881509
   5,  26.3206133749936,   0.0018196669741, -33.2662455504579,   0.0033401497622,   0.3876345575558,   0.0259621489504
   6,  34.2814124081071,   0.0066101205719, -18.2633092036587,   0.0077813431473,   0.1350368508242,   0.0237775815577
   7,   9.6130227187528,   0.0036325085362, -28.8446804382316,   0.0057208018419,   0.3225973115254,   0.0412743821167
   8,  19.0310807385069,   0.0039595590422, -28.6859072717971,   0.0067172486129,   0.1968045047205,   0.0238962961375
   9,  36.4299418272742,   0.0005989314740, -24.3318535398329,   0.0007271936868,   1.3398298368039,   0.0229966754525
  10,  23.6897989714131,   0.0022190188734, -38.7141346707948,   0.0035263329846,   0.7082586075746,   0.0534116563625
  11,  30.2364535679546,   0.0023010655017, -25.8353518792875,   0.0028368620500,   0.2841583406595,   0.0177716289128
  12,  38.7338397515584,   0.0124948524896, -24.8938833651001,   0.0093830413525,   0.1246243485027,   0.0292059987900
  13,  36.3626092401162,   0.0076949324717, -23.9577371563992,   0.0078295740808,   0.1718986391042,   0.0288613946885
  14,  17.4769591366775,   0.0032604610635, -14.8268756437526,   0.0039924077883,   0.4451765071879,   0.0307332764793
  15,  22.1227444931544,   0.0026039285892, -36.5464876020108,   0.0041640876328,   0.3266430221584,   0.0410156057195
  16,  30.1384066372931,   0.0011019643279, -25.1818366662288,   0.0012392060311,   0.6136376964369,   0.0176691140217
  17,  11.2243765636275,   0.0041210418757, -21.5791366246194,   0.0047219892288,   0.3147350524236,   0.0314678111511
  18,  23.8682425132071,   0.0079171618416, -20.2857397600920,   0.0128804649335,   0.1345890739184,   0.0194178473952
  19,  15.5220411795041,   0.0063077348985,  -9.0765442105741,   0.0104229157966,   0.4288137432803,   0.0589810663664
