# epoch00,   epoch01,   epoch02,   epoch03,   epoch04,   epoch05,   epoch06,   epoch07,   epoch08,   epoch09,   epoch10,   epoch11,   epoch12,   epoch13,   epoch14,   epoch15,   epoch16,   epoch17,   epoch18,   epoch19,   epoch20,   epoch21,   epoch22,   epoch23,   epoch24,   epoch25,   epoch26,   epoch27,   epoch28,   epoch29,   epoch30,   epoch31,   epoch32,   epoch33,   epoch34,   epoch35,   epoch36,   epoch37,   epoch38,   epoch39,   epoch40,   epoch41,   epoch42,   epoch43,   epoch44,   epoch45,   epoch46,   epoch47,   epoch48,   epoch49
     0,    74,    50,    33,    74,    52,    83,    68,    24,     8,    16,    62,    27,    47,    85,    23,    97,    92,    19,    87,     1,    85,    86,    18,    76,    63,    95,    56,    63,    57,    19,    28,    98,    96,     3,     8,    65,    22,    56,    13,    42,    79,    89,    79,    91,    40,    12,    62,    75,    99
     1,     0,    78,   100,    85,    79,    68,    48,    42,    10,    83,    87,    37,    95,    74,    81,    11,    21,    61,    22,    42,    78,    46,    20,    81,    40,    46,     2,    77,    59,    65,    72,    64,    77,    71,    87,    11,    44,    97,    43,    53,    83,     4,    60,    93,    12,    62,    17,    98,    88
     2,    31,    77,    87,    23,    85,    49,    97,    45,    99,    68,    91,    81,    18,    73,    14,    72,    85,    15,    14,    15,    80,    64,    25,    95,    87,    27,    17,    15,    49,    53,    46,    10,    15,    56,    72,     3,    20,    28,     7,    67,    29,    71,    17,    57,    71,    10,     2,    26,    53
     3,    86,    92,    73,    73,    68,    93,    58,    44,    51,    53,    41,    26,    87,    21,    39,    35,    35,    49,    10,    65,    93,    14,    53,    86,    71,    50,    70,    57,    55,    21,    57,    41,    33,    24,    49,    97,    96,     8,     0,     6,    68,    30,    36,    43,    22,    35,    86,    33,    31
     4,   100,    20,     0,    13,    57,    14,    88,    61,    73,     1,    11,    97,     0,    95,    52,    25,    44,    77,    29,    44,    43,    89,    90,    29,    99,    81,    59,    41,    54,    91,    22,    38,    63,    38,    39,    99,     3,    52,    20,    92,    58,    78,    88,    78,    67,    60,    90,    24,    37
     5,    13,    81,    69,    65,    81,    47,    32,    37,    89,    81,    70,    67,    21,    87,    32,    62,    26,    13,    45,    35,    33,    83,    68,    50,     0,    66,    98,   100,    93,    75,    41,    44,    24,    77,    92,    91,    42,    89,    90,     2,    55,    36,    30,    81,     2,    14,    72,    16,    61
     6,    42,    19,    52,    12,    86,    22,    45,    64,    13,    87,    92,    95,    32,    97,    59,    10,    15,    52,    58,    45,    45,    81,    80,    26,    11,    24,    86,     7,    85,    34,    54,    94,    34,     0,    84,    38,    78,    68,    46,    55,    40,    99,    95,    29,    81,    81,    88,    63,    17
     7,    12,    30,    57,    27,    47,    82,    43,    18,    97,    36,    23,    58,    10,    13,     0,    26,    52,    85,    92,    51,    38,    95,    16,    97,     9,    30,    40,    19,    26,    87,    74,    18,    85,    33,     2,    16,    88,    60,     1,    83,    16,    98,    24,    64,    55,    86,    39,    28,    80
     8,     4,    68,    40,    34,    16,    17,    61,    76,    39,    10,    25,    32,    57,    31,    28,    68,    81,    25,    74,    56,    89,    91,    82,    27,    83,    97,    69,    33,    81,    17,    49,    72,    67,    65,    67,    14,    82,    92,    72,    99,    15,    75,    72,    11,    39,    44,    57,    36,    14
     9,    53,    62,    13,    20,    45,    69,    27,    68,    43,    99,    82,    57,    34,    84,    55,    20,    24,    11,    53,    55,    41,    87,    28,    15,    50,    82,    22,    56,    65,    93,    16,    57,    84,    35,    45,    60,    95,    96,    82,    25,    38,    26,    27,    33,    65,    22,    61,    82,    12
